Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
HSI,12/2/1996,13446.7002,13517.59961,13446.7002,13517.59961,13517.59961,1757.287949
HSI,12/3/1996,13493.79981,13522.5,13422.09961,13456.29981,13456.29981,1749.318975
HSI,12/4/1996,13406,13435.2002,13344.79981,13434.2002,13434.2002,1746.446026
HSI,12/5/1996,13427.2002,13525.40039,13416.09961,13491.59961,13491.59961,1753.907949
HSI,12/6/1996,13466,13466,12870.09961,13102.7002,13102.7002,1703.351026
HSI,12/9/1996,13194.5,13226,12980.5,13144.2002,13144.2002,1708.746026
HSI,12/10/1996,13237.7002,13360.5,13237.7002,13342.5,13342.5,1734.525
HSI,12/11/1996,13357.7002,13473.29981,13125.90039,13189.59961,13189.59961,1714.647949
HSI,12/12/1996,12960.79981,13125.79981,12960.79981,13053.29981,13053.29981,1696.928975
HSI,12/13/1996,12892,12892,12736.40039,12784.09961,12784.09961,1661.932949
HSI,12/16/1996,12814.40039,12937.5,12801.40039,12937.5,12937.5,1681.875
HSI,12/17/1996,12781.7002,12864.40039,12747.90039,12815.40039,12815.40039,1666.002051
HSI,12/18/1996,12843.5,12942.59961,12762.59961,12766,12766,1659.58
HSI,12/19/1996,12808,12881.5,12781.29981,12846.59961,12846.59961,1670.057949
HSI,12/20/1996,12979.29981,13145.40039,12979.29981,13131.40039,13131.40039,1707.082051
HSI,12/23/1996,13133.2002,13361.2002,13103.2002,13331.5,13331.5,1733.095
HSI,12/24/1996,13334,13414,13278.09961,13341.59961,13341.59961,1734.407949
HSI,12/27/1996,13366.29981,13451.2002,13362.2002,13404.09961,13404.09961,1742.532949
HSI,12/30/1996,13407,13503.2002,13371.40039,13480.79981,13480.79981,1752.503975
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
