Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
GSPTSE,9/4/1984,2391.800049,2393.899902,2388.699951,2389.199951,2383.132568,1983.035959
GSPTSE,9/5/1984,2391.100098,2391.100098,2366.100098,2366.100098,2360.091309,1963.863081
GSPTSE,9/6/1984,2368.899902,2371.5,2364.899902,2370.800049,2364.779541,1967.764041
GSPTSE,9/7/1984,2375.899902,2376.199951,2353.800049,2356,2350.016846,1955.48
GSPTSE,9/10/1984,2342.899902,2345,2335.5,2344,2338.047363,1945.52
GSPTSE,9/11/1984,2351.399902,2357,2345.100098,2345.100098,2339.144775,1946.433081
GSPTSE,9/12/1984,2337,2340.300049,2335.899902,2340.199951,2334.25708,1942.365959
GSPTSE,9/13/1984,2344.399902,2376.5,2344.399902,2376.5,2370.465088,1972.495
GSPTSE,9/14/1984,2397.800049,2399.399902,2392.600098,2397.199951,2391.112061,1989.675959
GSPTSE,9/17/1984,2393.399902,2401.5,2391.600098,2398.300049,2392.209473,1990.589041
GSPTSE,9/18/1984,2399.300049,2404.899902,2396.800049,2400.399902,2394.304199,1992.331919
GSPTSE,9/19/1984,2397.399902,2407,2393.899902,2396.600098,2390.51416,1989.178081
GSPTSE,9/20/1984,2397.100098,2399.899902,2394.399902,2399,2392.907715,1991.17
GSPTSE,9/21/1984,2393.399902,2401,2385.199951,2385.199951,2379.142822,1979.715959
GSPTSE,9/24/1984,2380.300049,2381.199951,2367.899902,2370.100098,2364.081299,1967.183081
GSPTSE,9/25/1984,2371.199951,2371.199951,2357.199951,2366.5,2360.490234,1964.195
GSPTSE,9/26/1984,2370.600098,2381.100098,2369.399902,2379.300049,2373.257813,1974.819041
GSPTSE,9/27/1984,2389.800049,2397.399902,2389.800049,2395.699951,2389.616211,1988.430959
GSPTSE,9/28/1984,2394,2400.399902,2391.399902,2392.699951,2386.623779,1985.940959
GSPTSE,10/1/1984,2385.600098,2385.600098,2376.199951,2379.600098,2373.557129,1975.068081
GSPTSE,10/2/1984,2378.699951,2387.600098,2378.699951,2383.100098,2377.04834,1977.973081
GSPTSE,10/3/1984,2379.399902,2379.399902,2370.300049,2371,2364.979004,1967.93
GSPTSE,10/4/1984,2371.800049,2374.399902,2369.800049,2369.800049,2363.781738,1966.934041
GSPTSE,10/5/1984,2370.600098,2370.600098,2361.899902,2366.300049,2360.291016,1964.029041
GSPTSE,10/9/1984,2368.199951,2370.600098,2357,2357,2351.014648,1956.31
GSPTSE,10/10/1984,2359.699951,2359.699951,2347.699951,2357.899902,2351.912109,1957.056919
GSPTSE,10/11/1984,2362.899902,2368.5,2360.399902,2365.899902,2359.891846,1963.696919
GSPTSE,10/12/1984,2370.600098,2388.100098,2370.600098,2386.699951,2380.638916,1980.960959
GSPTSE,10/15/1984,2389.199951,2405.800049,2389.199951,2404.100098,2397.995117,1995.403081
GSPTSE,10/16/1984,2403.899902,2406.899902,2399.800049,2406,2399.890137,1996.98
GSPTSE,10/17/1984,2402.899902,2408.199951,2398.5,2399.699951,2393.605713,1991.750959
GSPTSE,10/18/1984,2393.199951,2407.399902,2382.600098,2407.399902,2401.286621,1998.141919
GSPTSE,10/19/1984,2417,2417.600098,2395.199951,2396,2389.915283,1988.68
GSPTSE,10/22/1984,2391.899902,2393.800049,2384,2384.199951,2378.145264,1978.885959
GSPTSE,10/23/1984,2385.800049,2390.800049,2381.199951,2382.5,2376.449463,1977.475
GSPTSE,10/24/1984,2378.199951,2378.199951,2369.100098,2372.699951,2366.674805,1969.340959
GSPTSE,10/25/1984,2375.5,2382,2370.199951,2370.199951,2364.180664,1967.265959
GSPTSE,10/26/1984,2363.5,2366.899902,2362.600098,2365.300049,2359.293701,1963.199041
GSPTSE,10/29/1984,2359.100098,2359.100098,2350.100098,2353.100098,2347.124512,1953.073081
GSPTSE,10/30/1984,2351.899902,2363.600098,2351.899902,2362.100098,2356.101563,1960.543081
GSPTSE,10/31/1984,2358.800049,2361.199951,2353,2353.300049,2347.324219,1953.239041
GSPTSE,11/1/1984,2352.399902,2357.699951,2350.5,2354.699951,2348.720459,1954.400959
GSPTSE,11/2/1984,2360.699951,2373.100098,2360.699951,2369.399902,2363.383057,1966.601919
